"FirstName","LastName","MemberNumber","CarNumber","Car","Class","Best","Best Indexed","ClassRank","IndexRank","OverallRank","Rookie","Run 1","Run 1 Pen","Run 2","Run 2 Pen","Run 3","Run 3 Pen","Run 4","Run 4 Pen","Run 5","Run 5 Pen","Run 6","Run 6 Pen"
"Bryan","Ganz","","741","2002 Chevrolet Corvette Z06","AS","52.301","43.096","2","84","88","","52.301","","53.691","DNF","57.06",""
"Vah-ming","K Moua","","205"," Honda Civic type R","X","52.427","52.427","1","116","89","","52.427","","49.077","DNF","47.922","DNF"
"Justin","Dargis","","144","1995 Mazda Miata","STS","52.572","42.898","2","82","90","","64.725","","53.488","DNF","52.572",""
"Brandon","Rowlett","","406","2016 Mazda MX-5","STR","52.763","43.898","1","91","91","","52.763","","56.518","DNF","56.784","DNF"
"Alex","Noordergraaf","","202","2016 Mazda Miata White","CS","52.820","42.942","5","83","92","","54.099","","52.82","","54.174",""
"Ben","Allen","","255","2006 Mazda MX-5 Miata ","N","52.921","52.921","5","117","93","","53.106","","52.921","","53.414",""
"Daye","Stager","","996","2022 Toyota GR86","DS","53.216","43.104","2","85","94","","53.216","","51.217","3","58.316","DNF"
"Clay","McCarthy","","222","1995 Chevrolet Camaro","CAMT","53.338","43.737","3","89","95","","94.136","DNF","54.843","","53.338",""
"Tom","Hicok","","355","2019 Mazda Miata Club","CS","53.341","43.366","6","86","96","","57.53","","51.341","1","50.181","DNF"
"Mikaila","Conway","","140","2003 Toyota MR2","ES","53.595","42.447","8","79","97","","56.499","","67.862","DNF","53.595",""
"Christopher","Stromme","","54","1999 Saab 9-3 Convertible SE","X","53.601","53.601","2","118","98","","53.601","","55.721","","57.396",""
"Wyatt","Kopietz","","100","2009 Honda Fit","N","53.624","53.624","6","119","99","","62.716","","56.596","","53.624",""
"Anthony","Avalos","","374","2006 Nissan 350Z","N","53.856","53.856","7","120","100","","54.809","","53.856","","54.726",""
"Zach","Bremer","","337","1997 Mazda Miatas","STR","54.125","45.032","2","99","101","","84.777","DNF","54.125","","52.748","1"
"Erik","Ernst","","747","2020 Honda Civic Hatchback","HS","54.199","42.600","4","80","102","","54.199","","54.611","DNF","59.037",""
"Joseph","Anderson","","492","2015 Dodge charger","CAMC","54.334","44.879","6","98","103","","54.731","DNF","54.921","","54.334",""
"Tanner","Gruba","","87","1990 Mazda Miata","Z-STS","54.353","44.352","10","94","104","","54.353","","55.519","","52.453","1"
"Drew","Baumbach","","27","2009 Porsche Cayman S","AS","54.403","44.828","3","97","105","","58.843","","54.403","","61.584",""
"Steve","Church","","292","1993 Mazda Miata","ES","54.920","43.496","9","87","106","","99.846","RERUN","54.92","","71.268","RERUN","52.977","1","54.557","1"
"Don","Gettinger","","4","2001 Chevrolet Z-06 Corvette","AS","54.968","45.293","4","100","107","","59.767","","55.142","","54.968",""
"Rixin","Zhao","","233","2024 Acura Integra","N","55.170","55.170","8","121","108","","54.884","DNF","53.17","1","57.394",""
"Brittany","Grant","","547","2007 Chevrolet C6 Base","CAMS","55.232","46.836","6","105","109","","55.232","","55.317","DNF","54.567","DNF"
"Philip","Ethier","","7","2011 Porsche Cayman 2.9","X","55.292","55.292","3","122","110","","55.292","","54.125","1"
"Kevin","Costello","","37","2007 Porsche Boxster S","BS","55.483","45.385","2","101","111","","55.483","","55.71","","54.557","DNF"
"Gary","Schmidt","","737","2023 Acura Integra","Z-GS","55.899","44.495","11","96","112","","57.446","DNF","59.297","","55.899",""
"Carter","Smith","","701","1990 Toyota Prius","HS","56.069","44.070","5","93","113","","56.069","","54.892","1"
"Matt","Moskalik","","420","2013 Scion FRS","STX","56.297","46.107","1","103","114","","60.555","","59.81","1","56.297",""
"James","Mccarthy","","220","2016 Mazda Miata ND White","CS","56.667","46.070","7","102","115","","56.667","","65.628","","59.365",""
"Ed","Wildeman","","200","1999 BMW M Roadster","Z-CS","56.881","46.244","12","104","116","","59.871","","56.881","","57.866",""
"Nicholas","Mullesch","","167","2014 Ford Fiesta ST","SM","56.959","49.440","1","110","117","","58.416","","56.959","","56.054","DNF"
